Date,country,ADR GGAL,BLUE,Dolar CCL,Dolar MEP,Dolar Mayorista,Dolar Oficial,Dolar Solidario,GGAL,Merval,uno,Brecha CCL,Brecha MEP,Brecha Blue,uno - 30d_running_av,uno - 30d_running_av_mom_change,uno - 30d_change,uno - usd_daily,uno - 7d_running_av,uno - 1d_change,BLUE - 30d_running_av,BLUE - 30d_running_av_mom_change,BLUE - 30d_change,BLUE - usd_daily,BLUE - 7d_running_av,BLUE - 1d_change,GGAL - 30d_running_av,GGAL - 30d_running_av_mom_change,GGAL - 30d_change,GGAL - usd_daily,GGAL - 7d_running_av,GGAL - 1d_change,Merval - 30d_running_av,Merval - 30d_running_av_mom_change,Merval - 30d_change,Merval - usd_daily,Merval - 7d_running_av,Merval - 1d_change,Merval - CCL_daily,ADR GGAL - 30d_running_av,ADR GGAL - 30d_running_av_mom_change,ADR GGAL - 30d_change,ADR GGAL - usd_daily,ADR GGAL - 7d_running_av,ADR GGAL - 1d_change,Dolar CCL - 30d_running_av_mom_change,Dolar CCL - 30d_running_av,Dolar CCL - 30d_change,Dolar CCL - usd_daily,Dolar CCL - 7d_running_av,Dolar CCL - 1d_change,Dolar MEP - 30d_running_av_mom_change,Dolar MEP - 30d_change,Dolar MEP - 30d_running_av,Dolar MEP - usd_daily,Dolar MEP - 7d_running_av,Dolar MEP - 1d_change,Brecha CCL - 30d_running_av,Brecha CCL - 30d_running_av_mom_change,Brecha CCL - 30d_change,Brecha CCL - usd_daily,Brecha CCL - 7d_running_av,Brecha CCL - 1d_change,Brecha MEP - 30d_running_av,Brecha MEP - 30d_running_av_mom_change,Brecha MEP - 30d_change,Brecha MEP - usd_daily,Brecha MEP - 7d_running_av,Brecha MEP - 1d_change,Brecha Blue - 30d_running_av,Brecha Blue - 30d_running_av_mom_change,Brecha Blue - 30d_change,Brecha Blue - usd_daily,Brecha Blue - 7d_running_av,Brecha Blue - 1d_change,Dolar Oficial - 30d_running_av_mom_change,Dolar Oficial - 30d_change,Dolar Oficial - 30d_running_av,Dolar Oficial - usd_daily,Dolar Oficial - 7d_running_av,Dolar Oficial - 1d_change,Dolar Mayorista - 30d_running_av_mom_change,Dolar Mayorista - 30d_running_av,Dolar Mayorista - 30d_change,Dolar Mayorista - usd_daily,Dolar Mayorista - 7d_running_av,Dolar Mayorista - 1d_change,Dolar Solidario - 30d_running_av,Dolar Solidario - 30d_change,Dolar Solidario - 30d_running_av_mom_change,Dolar Solidario - usd_daily,Dolar Solidario - 7d_running_av,Dolar Solidario - 1d_change
1992-01-02,Argentina,,,,,,0.991,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-03,Argentina,,,,,,0.991,,,,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
1992-01-06,Argentina,,,,,,0.991,,,,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
1992-01-07,Argentina,,,,,,0.991,,,,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
1992-01-08,Argentina,,,,,,0.991,,,,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991,0.0,,,,,,,,,,,,
1992-01-09,Argentina,,,,,,0.991,,,,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991,0.0,,,,,,,,,,,,
1992-01-10,Argentina,,,,,,0.991,,,,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991,0.0,,,,,,,,,,,,
1992-01-13,Argentina,,,,,,0.992,,,,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9911428571428572,0.1009081735620531,,,,,,,,,,,,
1992-01-14,Argentina,,,,,,0.991,,,,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9911428571428572,-0.1008064516129003,,,,,,,,,,,,
1992-01-15,Argentina,,,,,,0.991,,,,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9911428571428572,0.0,,,,,,,,,,,,
1992-01-16,Argentina,,,,,,0.991,,,,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9911428571428572,0.0,,,,,,,,,,,,
1992-01-17,Argentina,,,,,,0.991,,,,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9911428571428572,0.0,,,,,,,,,,,,
1992-01-20,Argentina,,,,,,0.991,,,,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991,0.0,,,,,,,,,,,,
1992-01-21,Argentina,,,,,,0.991,,,,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991,0.0,,,,,,,,,,,,
1992-01-22,Argentina,,,,,,0.991,,,,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991,0.0,,,,,,,,,,,,
1992-01-23,Argentina,,,,,,0.991,,,,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991,0.0,,,,,,,,,,,,
1992-01-24,Argentina,,,,,,0.991,,,,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991,0.0,,,,,,,,,,,,
1992-01-27,Argentina,,,,,,0.991,,,,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991,0.0,,,,,,,,,,,,
1992-01-28,Argentina,,,,,,0.991,,,,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991,0.0,,,,,,,,,,,,
1992-01-29,Argentina,,,,,,0.991,,,,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991,0.0,,,,,,,,,,,,
1992-01-30,Argentina,,,,,,0.991,,,,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991,0.0,,,,,,,,,,,,
1992-01-31,Argentina,,,,,,0.991,,,,1.0,,,,1.0,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9910333333333332,,0.991,0.0,,,,,,,,,,,,
1992-02-03,Argentina,,,,,,0.991,,,,1.0,,,,1.0,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.9910333333333334,,0.991,0.0,,,,,,,,,,,,
1992-02-04,Argentina,,,,,,0.991,,,,1.0,,,,1.0,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.9910333333333334,,0.991,0.0,,,,,,,,,,,,
1992-02-05,Argentina,,,,,,0.991,,,,1.0,,,,1.0,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.9910333333333334,,0.991,0.0,,,,,,,,,,,,
1992-02-06,Argentina,,,,,,0.991,,,,1.0,,,,1.0,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.9910333333333332,,0.991,0.0,,,,,,,,,,,,
1992-02-07,Argentina,,,,,,0.991,,,,1.0,,,,1.0,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.9910333333333332,,0.991,0.0,,,,,,,,,,,,
1992-02-10,Argentina,,,,,,0.991,,,,1.0,,,,1.0,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.9910333333333332,,0.991,0.0,,,,,,,,,,,,
1992-02-11,Argentina,,,,,,0.991,,,,1.0,,,,1.0,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.9910333333333334,,0.991,0.0,,,,,,,,,,,,
1992-02-12,Argentina,,,,,,0.991,,,,1.0,,,,1.0,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001008064516129,0.991,,0.991,0.0,,,,,,,,,,,,
1992-02-13,Argentina,,,,,,0.991,,,,1.0,,,,1.0,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.991,,0.991,0.0,,,,,,,,,,,,
1992-02-14,Argentina,,,,,,0.991,,,,1.0,,,,1.0,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.991,,0.991,0.0,,,,,,,,,,,,
1992-02-17,Argentina,,,,,,0.991,,,,1.0,,,,1.0,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.991,,0.991,0.0,,,,,,,,,,,,
1992-02-18,Argentina,,,,,,0.993,,,,1.0,,,,1.0,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002018163471241,0.9910666666666668,,0.9912857142857144,0.2018163471241063,,,,,,,,,,,,
1992-02-19,Argentina,,,,,,0.992,,,,1.0,,,,1.0,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010090817356205,0.9911,,0.9914285714285714,-0.1007049345417954,,,,,,,,,,,,
1992-02-20,Argentina,,,,,,0.991,,,,1.0,,,,1.0,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.9911,,0.9914285714285712,-0.1008064516129003,,,,,,,,,,,,
1992-02-21,Argentina,,,,,,0.991,,,,1.0,,,,1.0,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.9911,,0.9914285714285714,0.0,,,,,,,,,,,,
1992-02-24,Argentina,,,,,,0.991,,,,1.0,,,,1.0,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.9911,,0.9914285714285714,0.0,,,,,,,,,,,,
1992-02-25,Argentina,,,,,,0.992,,,,1.0,,,,1.0,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010090817356205,0.9911333333333332,,0.9912857142857144,0.1009081735620531,,,,,,,,,,,,
1992-02-26,Argentina,,,,,,0.992,,,,1.0,,,,1.0,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010090817356205,0.9911666666666666,,0.9912857142857144,0.0,,,,,,,,,,,,
1992-02-27,Argentina,,,,,,0.992,,,,1.0,,,,1.0,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010090817356205,0.9912,,0.9914285714285714,0.0,,,,,,,,,,,,
1992-02-28,Argentina,,,,,,0.991,,,,1.0,,,,1.0,,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.9912,,0.9914285714285712,-0.1008064516129003,,,,,,,,,,,,
1992-03-02,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001681746325381,0.0,0.9912,,0.9914285714285712,0.0,,,,,,,,,,,,
1992-03-03,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001681746325381,0.0,0.9912,,0.9912857142857144,0.0,,,,,,,,,,,,
1992-03-04,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001681746325381,0.0,0.9912,,0.9911428571428572,0.0,,,,,,,,,,,,
1992-03-05,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001681746325383,0.0,0.9912,,0.991,0.0,,,,,,,,,,,,
